category1_code,category2_code,product_code,title,imageurl,price_eur,title_cleaned
JEWELRY,COMETE,PJ12128,Veränderbares langes Collier  18 Karat Weißgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/les-infinis-de-comete-white-white-gold-diamond-packshot-default-j12128-9528003723294.jpg",47600.0,veränderbares langes collier 18 karat weißgold diamanten
FASHION,COSTUME JEWELRY,PABA981B13065,Metall & Harz  Goldfarben & Braun,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/pendant-necklace-gold-brown-metal-resin-metal-resin-packshot-artistique-vue3-aba981b13065no880-9524096466974.jpg",1180.0,metall & harz goldfarben & braun
FASHION,COSTUME JEWELRY,PABB017B13260,Metall & Glasperlen  Goldfarben & Rot,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/choker-gold-red-metal-glass-pearls-metal-glass-pearls-packshot-artistique-vue2-abb017b13260np303-9524094107678.jpg",3010.0,metall & glasperlen goldfarben & rot
FASHION,COSTUME JEWELRY,PABB049B13472,Metall  Gold- & rutheniumfarben,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/necklace-gold-ruthenium-metal-metal-packshot-artistique-vue1-abb049b13472np947-9527438278686.jpg",2620.0,metall gold- & rutheniumfarben
FASHION,COSTUME JEWELRY,PABB357B13567,Metall  Harz & Strass  Goldfarben  Schwarz & Kristall,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/pendant-earrings-gold-black-crystal-metal-resin-strass-metal-resin-strass-packshot-artistique-vue1-abb357b13567nq093-9524093026334.jpg",850.0,metall harz & strass goldfarben schwarz & kristall
JEWELRY,COCO CRUSH,PJ12154,Steppmotiv  18 Karat Weißgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/coco-crush-single-earring-white-white-gold-diamond-packshot-default-j12154-9527234756638.jpg",2290.0,steppmotiv 18 karat weißgold diamanten
JEWELRY,COCO CRUSH,PJ12156,Steppmotiv  18 Karat Gelbgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/coco-crush-single-earring-yellow-yellow-gold-diamond-packshot-default-j12156-9527234691102.jpg",2180.0,steppmotiv 18 karat gelbgold diamanten
JEWELRY,N°5,PJ12187,18 Karat BEIGEGOLD  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/eternal-n-5-ring-beige-beige-gold-diamond-packshot-default-j12187-9527989731358.jpg",9050.0,18 karat beigegold diamanten
JEWELRY,N°5,PJ12191,18 Karat BEIGEGOLD  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/eternal-n-5-single-earring-beige-beige-gold-diamond-packshot-default-j12191-9527983210526.jpg",4350.0,18 karat beigegold diamanten
JEWELRY,COCO CRUSH,PJ12303,Steppmotiv  18 Karat BEIGEGOLD,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/coco-bracelet-beige-beige-gold-packshot-default-j12303-9532583280670.jpg",1780.0,steppmotiv 18 karat beigegold
