category1_code,category2_code,product_code,title,imageurl,price_eur,title_cleaned
FRAGRANCE,WOMEN,PP113650,EAU DE PARFUM ZERSTÄUBER,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/w_0.51,h_0.51,c_crop/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/coco-noir-eau-de-parfum-spray-3-4fl-oz--packshot-default-113660-9535566184478.jpg",157.0,eau de parfum zerstäuber
FRAGRANCE,WOMEN,PP105170,EAU PREMIÈRE ZERSTÄUBER,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/w_0.51,h_0.51,c_crop/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/n-5-eau-premiere-spray-3-4fl-oz--packshot-default-105340-9519205875742.jpg",157.0,eau première zerstäuber
EYEWEAR,SUNGLASSES,PA71455,Braun. Gläser: Braun  Mit Verlauf,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/rectangle-sunglasses-brown-acetate-acetate-packshot-default-a71455x08101s1715-8853183791134.jpg",420.0,braun gläser braun mit verlauf
EYEWEAR,SUNGLASSES,PA71477,Schwarz. Gläser: Schwarz  Verspiegelt,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/shield-sunglasses-black-acetate-technical-satin-acetate-technical-satin-packshot-default-a71477x08101s0167-8857341394974.jpg",900.0,schwarz gläser schwarz verspiegelt
FRAGRANCE,WOMEN,PP115690,EAU DE TOILETTE ZERSTÄUBER,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/w_0.51,h_0.51,c_crop/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/cristalle-eau-de-toilette-spray-3-4fl-oz--packshot-default-115690-9535788384286.jpg",136.0,eau de toilette zerstäuber
FRAGRANCE,BATH AND BODY,PP123730,DUSCHGEL,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/w_0.51,h_0.51,c_crop/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/allure-homme-sport-shower-gel-6-8fl-oz--packshot-default-123730-9527433134110.jpg",41.0,duschgel
FRAGRANCE,MEN,PP123800,EAU DE TOILETTE NACHFÜLLBARES TWIST AND SPRAY,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/w_0.51,h_0.51,c_crop/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/allure-homme-sport-eau-de-toilette-twist-and-spray-3x0-7fl-oz--packshot-default-123800-8818203033630.jpg",98.0,eau de toilette nachfüllbares twist and spray
FRAGRANCE,WOMEN,PP125450,EAU DE PARFUM NACHFÜLLBARER ZERSTÄUBER,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/w_0.60,h_0.60,c_crop/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/n-5-eau-de-parfum-refillable-spray-2fl-oz--packshot-default-125450-8833878065182.jpg",121.0,eau de parfum nachfüllbarer zerstäuber
FRAGRANCE,WOMEN,PP126050,EXTRAIT FLAKON,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/w_0.51,h_0.51,c_crop/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/chance-parfum-0-25fl-oz--packshot-default-126050-8833882390558.jpg",120.0,extrait flakon
FRAGRANCE,WOMEN,PP126100,EAU DE TOILETTE TWIST AND SPRAY,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/w_0.51,h_0.51,c_crop/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/chance-eau-de-toilette-twist-and-spray-3x0-7fl-oz--packshot-default-126100-9535754862622.jpg",118.0,eau de toilette twist and spray
